campaign_id,campaign_name,type,start_date,end_date,segment,budget_rub,impressions,clicks,conversions,revenue_rub,status
C-001,Новогодний кэшбек x2,Акция,2025-12-20,2026-01-10,Все пользователи,150000,142000,28400,8520,1278000,Завершена
C-002,Приведи друга — январь,Реферал,2026-01-05,2026-01-31,Золотые,50000,15000,4200,1890,567000,Завершена
C-003,Пуш: баллы сгорают,Push,2026-01-10,2026-01-12,Неактивные 30д,0,45000,14040,5400,,Завершена
C-004,Купон на ДР,Персональная,2026-01-01,2026-01-31,Именинники,25000,8900,3560,2492,,Активна
C-005,Welcome-цепочка v2,Email+Push,2026-01-15,2026-02-15,Новые,35000,24800,7440,3720,,Активна
C-006,Кэшбек на молочку,Категория,2026-01-20,2026-02-03,Silver+Gold,40000,53000,15900,6360,952000,Завершена
C-007,Розыгрыш iPhone,Геймификация,2026-02-01,2026-02-28,Все,200000,89000,,,Активна
C-008,Реактивация: скидка 15%,Win-back,2026-01-08,2026-01-22,Отток 60д,30000,12500,2500,875,131250,Завершена
C-009,Пуш: новые акции недели,Push,2026-01-06,2026-01-31,Активные,0,98000,11564,3330,,Завершена
C-010,Тест: персональная vs массовая,A/B тест,2026-01-15,2026-01-29,Silver,,26000,,,Завершена
